inn,ogrn,region,region_taxcode,creation_date,dissolution_date,age,eligible,exemption_criteria,financial,filed,imputed,simplified,articulated,totals_adjustment,outlier,okved,okved_section,okpo,okopf,okogu,okfc,oktmo,lon,lat,geocoding_quality,line_1100,line_1110,line_1120,line_1130,line_1140,line_1150,line_1160,line_1170,line_1180,line_1190,line_1200,line_1210,line_1220,line_1230
0100000445,1210100002738,adygeya,0100,2021-12-16,,2.0,1.0,none,0.0,1.0,0.0,1.0,1.0,1.0,0.0,62.01,J,77963884,12300,4210014,16,79630159051,38.95245490490783,44.9818758,house,0.0,,,,,0.0,,0.0,,,15.0,0.0,,10.0
0100000452,1210100002749,adygeya,0100,2021-12-20,,2.0,1.0,none,0.0,1.0,0.0,1.0,1.0,1.0,0.0,56.10.10,I,77962235,12300,4210014,16,79630159051,38.9317918,44.9983806,house,,,,,,,,,,,10.0,,,10.0
0100000460,1210100002750,adygeya,0100,2021-12-21,,2.0,1.0,none,0.0,1.0,0.0,1.0,1.0,1.0,0.0,01.49.12,A,53360320,12300,4210014,16,79703000001,39.1853586,44.8840628,house,23.0,,,,,0.0,,23.0,,,28052.0,19616.0,,8138.0
0100000477,1210100002760,adygeya,0100,2021-12-21,,2.0,1.0,none,0.0,1.0,0.0,0.0,1.0,1.0,0.0,80.10,N,53360945,12300,4210014,16,79701000001,40.122148717712015,44.59678475,house,,,,,,,,,,,1291.0,,,379.0
0100000484,1210100002771,adygeya,0100,2021-12-24,,2.0,1.0,none,0.0,1.0,0.0,0.0,1.0,1.0,0.0,90.04,R,57647496,71400,4210014,16,79701000001,40.0989906,44.6035343,house,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596.0,0.0,0.0,0.0
0100000491,1210100002782,adygeya,0100,2021-12-27,,2.0,1.0,none,0.0,1.0,0.0,0.0,1.0,1.0,0.0,71.12.20,M,58498312,12300,4210014,16,79630415106,38.9331639,45.0247666,city,14965.0,,,,,2178.0,,,12787.0,,3107231.0,2351683.0,8059.0,740768.0
0100000519,1210100002793,adygeya,0100,2021-12-28,2024-05-21,2.0,1.0,none,0.0,0.0,0.0,,,,0.0,88.99,Q,58536053,70401,4220003,50,79701000001,40.094663031563925,44.621428800000004,house,,,,,,,,,,,,,,
0100000526,1210100002804,adygeya,0100,2021-12-29,,2.0,1.0,none,0.0,1.0,0.0,0.0,1.0,1.0,0.0,79.11,N,72246505,12300,4210014,16,79701000001,40.1047251,44.624015,house,,,,,,,,,,,2586.0,,,2531.0
0100000533,1220100000010,adygeya,0100,2022-01-10,,1.0,1.0,none,0.0,1.0,0.0,0.0,1.0,1.0,0.0,46.46,G,73515278,12300,4210014,16,79701000001,40.1014461,44.6015058,house,,,,,,,,,,,10.0,,,
0100000558,1220100000031,adygeya,0100,2022-01-10,,1.0,1.0,none,0.0,1.0,0.0,1.0,1.0,1.0,0.0,46.90,G,73515195,12300,4210014,16,79701000001,40.108949,44.6151521,house,,,,,,,,,,,29716.0,5117.0,,24578.0
0100000565,1220100000042,adygeya,0100,2022-01-11,,1.0,1.0,none,0.0,1.0,0.0,0.0,1.0,1.0,0.0,41.20,F,77033636,12300,4210014,16,79630420101,38.994718,44.9212862,city,,,,,,,,,,,10.0,10.0,,
0100000572,1220100000053,adygeya,0100,2022-01-12,,1.0,1.0,none,0.0,1.0,0.0,1.0,1.0,1.0,0.0,46.31,G,47904602,12300,4210014,16,79630157051,38.9071424,44.9230727,city,,,,,,,,,,,59.0,5.0,,54.0
0100000580,1220100000064,adygeya,0100,2022-01-17,,1.0,1.0,none,0.0,1.0,0.0,0.0,1.0,1.0,0.0,41.20,F,50492072,12300,4210014,16,79701000001,40.1152003,44.5923716,street,,,,,,,,,,,466.0,466.0,,0.0
0100000597,1220100000075,adygeya,0100,2022-01-17,,1.0,1.0,none,0.0,1.0,0.0,1.0,1.0,1.0,0.0,62.09,J,50491997,12300,4210014,16,79701000141,39.9743639,44.6863646,street,,,,,,,,,,,6.0,1.0,,
0100000607,1220100000086,adygeya,0100,2022-01-19,,1.0,1.0,none,0.0,1.0,0.0,1.0,1.0,1.0,0.0,52.29,H,53162122,12300,4210014,16,79630159051,38.9326728,44.9715135,house,166.0,,,,,166.0,,,,,2848.0,,,2821.0
0100000614,1220100000097,adygeya,0100,2022-01-19,,1.0,1.0,none,0.0,1.0,0.0,1.0,1.0,1.0,0.0,08.12,B,53162671,12300,4210014,16,79703000001,39.1898283,44.8828886,house,4364.0,,,,,4364.0,,,,,76736.0,18268.0,,57646.0
0100000621,1220100000108,adygeya,0100,2022-01-19,,1.0,1.0,none,0.0,1.0,0.0,1.0,1.0,1.0,0.0,43.29,F,53162197,12300,4210014,16,79630157051,38.9071245,44.9230784,street,,,,,,,,,,,8736.0,30.0,,8504.0
0100000639,1220100000119,adygeya,0100,2022-01-20,,1.0,1.0,none,0.0,0.0,0.0,,,,0.0,63.12,J,54559146,12300,4210014,16,79630415106,38.9331639,45.0247666,city,,,,,,,,,,,,,,
0100000646,1220100000120,adygeya,0100,2022-01-21,,1.0,1.0,none,0.0,1.0,0.0,0.0,1.0,1.0,0.0,71.12.20,M,54559040,12300,4210014,16,79630415106,38.9331639,45.0247666,city,18304.0,,,,,459.0,,,17845.0,,807685.0,753998.0,3376.0,48047.0
0100000653,1220100000130,adygeya,0100,2022-01-21,,1.0,1.0,none,0.0,0.0,1.0,1.0,1.0,0.0,0.0,41.20,F,55831702,12300,4210014,16,79701000001,40.1210064,44.590873,house,,,,,,,,,,,,,,
0100000660,1220100000141,adygeya,0100,2022-01-24,,1.0,1.0,none,0.0,1.0,0.0,1.0,1.0,1.0,0.0,93.29,R,57340833,12300,4210014,16,79701000141,39.9641361,44.6729751,street,0.0,,,,,0.0,,0.0,,,0.0,0.0,,0.0
0100000678,1220100000152,adygeya,0100,2022-01-25,,1.0,1.0,none,0.0,1.0,0.0,1.0,1.0,1.0,0.0,95.22.10,S,59148519,12300,4210014,16,79630159051,38.958136752870786,44.987142399999996,house,,,,,,,,,,,137.0,11.0,,0.0
0100000685,1220100000163,adygeya,0100,2022-01-28,,1.0,1.0,none,0.0,1.0,0.0,1.0,1.0,1.0,0.0,94.99,S,73546592,20200,4220003,53,79701000141,39.95234150456179,44.67517705,house,,,,,,,,,,,1.0,,,
0100000692,1220100000174,adygeya,0100,2022-01-28,2024-12-05,1.0,1.0,none,0.0,0.0,0.0,,,,0.0,41.20,F,73546445,12300,4210014,16,79701000001,40.11531029551684,44.59409085,house,,,,,,,,,,,,,,
0100000702,1220100000185,adygeya,0100,2022-02-03,,1.0,1.0,none,0.0,1.0,0.0,0.0,1.0,0.0,0.0,64.99,K,55258694,20100,4210014,16,79622455101,40.1762501,44.512846,street,,,,,,,,,,,,,,
0100000710,1220100000196,adygeya,0100,2022-02-03,,1.0,1.0,none,0.0,1.0,0.0,0.0,1.0,1.0,0.0,47.73,G,55257329,12300,4210014,16,79701000001,40.100950980673915,44.606053700000004,house,,,,,,,,,,,1011.0,925.0,,0.0
0100000727,1220100000207,adygeya,0100,2022-02-08,,1.0,1.0,none,0.0,0.0,0.0,,,,0.0,47.73,G,74644523,12300,4210014,16,79630159051,38.931649750000005,45.0022583,house,,,,,,,,,,,,,,
0100000734,1220100000218,adygeya,0100,2022-02-08,,1.0,1.0,none,0.0,1.0,0.0,0.0,1.0,1.0,0.0,46.69.50,G,75660932,12300,4210014,16,79622455101,40.18410343228433,44.50923875,house,,,,,,,,,,,1422.0,0.0,,1103.0
0100000741,1220100000229,adygeya,0100,2022-02-08,2024-09-19,1.0,1.0,none,0.0,0.0,0.0,,,,0.0,41.20,F,75667153,12300,4210014,16,79630159051,38.9382841,44.9864341,city,,,,,,,,,,,,,,
0100000759,1220100000230,adygeya,0100,2022-02-08,,1.0,1.0,none,0.0,1.0,0.0,1.0,1.0,1.0,0.0,10.51,C,75665094,12300,4210014,16,79622402116,40.1873009,44.405263,street,,,,,,,,,,,0.0,,,
0100000766,1220100000240,adygeya,0100,2022-02-09,2024-12-05,1.0,1.0,none,0.0,0.0,0.0,,,,0.0,10.91.10,C,75670480,12300,4210014,16,79701000001,40.10018071014784,44.606796149999994,house,,,,,,,,,,,,,,
0100000780,1220100000262,adygeya,0100,2022-02-14,,1.0,1.0,none,0.0,1.0,0.0,0.0,1.0,1.0,0.0,81.30,N,50234795,12300,4210014,16,79703000001,39.1917319,44.8831954,street,,,,,,,,,,,344.0,0.0,,0.0
0100000798,1220100000273,adygeya,0100,2022-02-17,,1.0,1.0,none,0.0,1.0,0.0,0.0,1.0,1.0,0.0,46.34.21,G,57005613,12300,4210014,16,79630420101,39.000043654084024,44.9545578,house,,,,,,,,,,,10984.0,,1.0,809.0
0100000808,1220100000284,adygeya,0100,2022-02-18,,1.0,1.0,none,0.0,1.0,0.0,1.0,1.0,1.0,0.0,46.73,G,70954770,12300,4210014,16,79630159051,38.9505439,44.98191945,house,481.0,,,,,481.0,,,,,374920.0,154149.0,,220763.0
0100000815,1220100000295,adygeya,0100,2022-02-18,,1.0,1.0,none,0.0,1.0,0.0,1.0,1.0,1.0,0.0,80.10,N,70953635,12300,4210014,16,79701000001,40.0712266,44.6157556,house,,,,,,,,,,,26402.0,,,18879.0
0100000822,1220100000306,adygeya,0100,2022-02-18,,1.0,1.0,none,0.0,0.0,0.0,,,,0.0,81.21,N,70966951,12300,4210014,16,79701000001,40.068581455849184,44.60886945,house,,,,,,,,,,,,,,
0100000830,1220100000317,adygeya,0100,2022-02-18,,1.0,1.0,none,0.0,1.0,0.0,0.0,1.0,1.0,0.0,55.10,I,70962373,12300,4210014,16,79703000001,39.18626615,44.8757677,house,57077.0,,,,,57077.0,,,,,35462.0,14598.0,6301.0,13880.0
0100000847,1220100000328,adygeya,0100,2022-02-21,,1.0,1.0,none,0.0,1.0,0.0,1.0,1.0,1.0,0.0,77.32,N,73495995,12300,4210014,16,79630159051,38.9505439,44.98191945,house,,,,,,,,,,,37774.0,30257.0,,6999.0
0100000854,1220100000339,adygeya,0100,2022-02-21,,1.0,1.0,none,0.0,1.0,0.0,1.0,1.0,1.0,0.0,38.21,E,73490087,12300,4210014,16,79630159051,38.93225180052865,44.97261385,house,,,,,,,,,,,3011.0,,,3011.0
0100000861,1220100000340,adygeya,0100,2022-02-21,,1.0,1.0,none,0.0,1.0,0.0,1.0,1.0,1.0,0.0,82.30,N,73496701,12300,4210014,16,79630420101,38.994718,44.9212862,city,,,,,,,,,,,1183.0,,,1072.0
0100000879,1220100000350,adygeya,0100,2022-02-21,2023-04-11,1.0,1.0,none,0.0,0.0,0.0,,,,0.0,62.02,J,,12300,4210014,16,79701000001,40.103940765766296,44.613638800000004,house,,,,,,,,,,,,,,
0100000886,1220100000361,adygeya,0100,2022-02-24,,1.0,1.0,none,0.0,1.0,0.0,0.0,0.0,1.0,0.0,85.42.90,P,50559913,75500,4210014,16,79701000001,40.0712266,44.6157556,house,,,,,,,,,,,444.0,149.0,,157.0
0100000893,1220100000372,adygeya,0100,2022-02-24,,1.0,1.0,none,0.0,1.0,0.0,0.0,1.0,0.0,0.0,52.21.24,H,50559178,20101,4210014,16,79630159051,38.9302616,44.981804,street,,,,,,,,,,,,,,
0100000903,1220100000383,adygeya,0100,2022-02-24,,1.0,1.0,none,0.0,1.0,0.0,0.0,1.0,1.0,0.0,28.49,C,50559818,12300,4210014,16,79701000001,40.1172901,44.61243245,house,0.0,,,,,,,,,,82.0,,,79.0
0100000910,1220100000394,adygeya,0100,2022-02-25,,1.0,1.0,none,0.0,1.0,0.0,1.0,1.0,1.0,0.0,86.23,Q,56360259,12300,4210014,16,79640430101,40.228089,45.023318,street,364.0,,,,,364.0,,,,,500.0,496.0,,
0100000928,1220100000405,adygeya,0100,2022-02-25,,1.0,1.0,none,0.0,1.0,0.0,0.0,1.0,1.0,0.0,19.20,C,56360928,12300,4210014,16,79701000001,40.071163377453985,44.61402895,house,,,,,,,,,,,10.0,,,
0100000935,1220100000416,adygeya,0100,2022-02-25,,1.0,1.0,none,0.0,1.0,0.0,0.0,1.0,1.0,0.0,68.20.20,L,56361141,12300,4210014,16,79633433111,39.1835494,44.866088,city,1106332.0,,,,,1051557.0,,,54775.0,,415629.0,348.0,,65374.0
0100000942,1220100000427,adygeya,0100,2022-02-25,,1.0,1.0,none,0.0,1.0,0.0,0.0,1.0,1.0,0.0,68.20.20,L,56360265,12300,4210014,16,79633433111,39.1835494,44.866088,city,125.0,,,,,,,,125.0,,94.0,,,31.0
0100000950,1220100000438,adygeya,0100,2022-02-28,,1.0,1.0,none,0.0,0.0,0.0,,,,0.0,52.21.24,H,50558865,20700,4210014,16,79630159051,38.9308868,44.9920102,house,,,,,,,,,,,,,,
0100000967,1220100000449,adygeya,0100,2022-03-01,2023-11-16,1.0,1.0,none,0.0,0.0,0.0,,,,0.0,80.10,N,,12300,4210014,16,79630415101,38.9331639,45.0247666,city,,,,,,,,,,,,,,
0100000981,1220100000460,adygeya,0100,2022-03-02,2024-07-05,1.0,1.0,none,0.0,0.0,0.0,,,,0.0,80.10,N,56096360,12300,4210014,16,79630415106,38.9331639,45.0247666,city,,,,,,,,,,,,,,
0100000999,1220100000471,adygeya,0100,2022-03-02,,1.0,1.0,none,0.0,0.0,0.0,,,,0.0,41.20,F,56094792,12300,4210014,16,79630415106,38.9324429,45.0279436,street,,,,,,,,,,,,,,
0100001008,1220100000482,adygeya,0100,2022-03-03,,1.0,1.0,none,0.0,1.0,0.0,0.0,1.0,0.0,0.0,49.42,H,59180003,12300,4210014,16,79630157051,38.91504104348577,44.9203646,house,,,,,,,,,,,,,,
0100001015,1220100000493,adygeya,0100,2022-03-03,,1.0,1.0,none,0.0,1.0,0.0,1.0,1.0,1.0,0.0,47.75,G,59174936,12300,4210014,16,79630415106,38.9331639,45.0247666,city,,,,,,,,,,,5.0,,,
0100001022,1220100000504,adygeya,0100,2022-03-04,,1.0,1.0,none,0.0,1.0,0.0,1.0,1.0,1.0,0.0,46.73,G,59180765,12300,4210014,16,79630405111,38.7257281,44.9815287,street,,,,,,,,,,,188.0,0.0,,181.0
0100001030,1220100000515,adygeya,0100,2022-03-10,,1.0,1.0,none,0.0,0.0,0.0,,,,0.0,41.20,F,70710022,12300,4210014,16,79630420101,38.994718,44.9212862,city,,,,,,,,,,,,,,
0100001047,1220100000526,adygeya,0100,2022-03-10,,1.0,1.0,none,0.0,1.0,0.0,0.0,1.0,1.0,0.0,42.13,F,70710364,12300,4210014,16,79630157116,38.9081686,44.9047904,street,120483.0,,,,,120483.0,,,,,104717.0,7538.0,0.0,89560.0
0100001054,1220100000537,adygeya,0100,2022-03-14,,1.0,1.0,none,0.0,1.0,0.0,0.0,1.0,1.0,0.0,77.32,N,76643686,12300,4210014,16,79633430101,39.3834749,44.8861418,street,0.0,0.0,,,,,,,,,10.0,0.0,,0.0
0100001061,1220100000548,adygeya,0100,2022-03-14,,1.0,1.0,none,0.0,1.0,0.0,1.0,1.0,1.0,0.0,41.20,F,76647000,12300,4210014,16,79701000001,40.0698323,44.6160034,house,2500.0,,,,,2500.0,,,,,2173.0,1165.0,,359.0
0100001079,1220100000559,adygeya,0100,2022-03-14,,1.0,1.0,none,0.0,1.0,0.0,1.0,1.0,1.0,0.0,46.90,G,76647617,12300,4210014,16,79701000001,40.0891259,44.6109791,street,121.0,,,,,121.0,,,,,652.0,,,652.0
0100001086,1220100000560,adygeya,0100,2022-03-15,,1.0,1.0,none,0.0,1.0,0.0,1.0,1.0,1.0,0.0,16.24,C,93296200,12300,4210014,16,79630159051,38.95203556471179,44.989496349999996,house,,,,,,,,,,,1311.0,302.0,,694.0
0100001093,1220100000570,adygeya,0100,2022-03-15,,1.0,1.0,none,0.0,0.0,0.0,,,,0.0,45.20,G,93323753,12300,4210014,16,79630159051,38.9327013,45.0019924,street,,,,,,,,,,,,,,
0100001103,1220100000581,adygeya,0100,2022-03-16,,1.0,1.0,none,0.0,1.0,0.0,1.0,1.0,1.0,0.0,69.20,M,50485267,12300,4210014,16,79630157051,38.91191725,44.92054695,house,,,,,,,,,,,318.0,312.0,,
0100001110,1220100000592,adygeya,0100,2022-03-16,,1.0,1.0,none,0.0,1.0,0.0,0.0,1.0,1.0,0.0,41.20,F,50483570,12300,4210014,16,79701000001,40.1210064,44.590873,house,,,,,,,,,,,3263.0,110.0,37.0,3088.0
0100001128,1220100000603,adygeya,0100,2022-03-18,,1.0,1.0,none,0.0,1.0,0.0,0.0,1.0,1.0,0.0,41.20,F,51589750,12300,4210014,16,79630405106,38.7933487,44.9954964,house,44034.0,,,,,38442.0,,,5592.0,,369976.0,212352.0,,154561.0
0100001135,1220100000614,adygeya,0100,2022-03-18,,1.0,1.0,none,0.0,1.0,0.0,0.0,1.0,1.0,0.0,80.10,N,51998945,12300,4210014,16,79701000001,40.10728949999999,44.62179945,house,7390.0,,,,,7390.0,,,,,10526.0,,,10193.0
0100001142,1220100000625,adygeya,0100,2022-03-21,,1.0,1.0,none,0.0,1.0,0.0,0.0,1.0,1.0,0.0,45.20.10,G,57683778,12300,4210014,16,79701000001,40.1121837,44.6066608,house,,,,,,,,,,,1140.0,,,990.0
0100001150,1220100000636,adygeya,0100,2022-03-21,,1.0,1.0,none,0.0,1.0,0.0,1.0,1.0,1.0,0.0,56.10,I,57680032,12300,4210014,16,79630159051,38.930688,44.99470745,house,0.0,,,,,,,0.0,,,1805.0,1469.0,,208.0
0100001174,1220100000658,adygeya,0100,2022-03-21,,1.0,1.0,none,0.0,0.0,0.0,,,,0.0,96.04,S,57680144,12300,4210014,16,79630159051,38.93416035,44.98796635,house,,,,,,,,,,,,,,
0100001181,1220100000669,adygeya,0100,2022-03-22,,1.0,1.0,none,0.0,1.0,0.0,1.0,1.0,1.0,0.0,85.42.90,P,57677975,75500,4210014,16,79701000121,40.0659277,44.6332019,street,0.0,,,,,,,0.0,,,10.0,0.0,,0.0
0100001199,1220100000670,adygeya,0100,2022-03-22,2024-12-13,1.0,1.0,none,0.0,1.0,0.0,0.0,1.0,0.0,0.0,94.99,S,57689725,20200,4220003,53,79701000001,40.0778434,44.6117878,house,,,,,,,,,,,,,,
0100001209,1220100000680,adygeya,0100,2022-03-22,2024-12-05,1.0,1.0,none,0.0,1.0,0.0,0.0,1.0,0.0,0.0,81.29.20,N,57690958,12300,4210014,16,79701000001,40.093933,44.61453815,house,,,,,,,,,,,0.0,,,
0100001216,1220100000691,adygeya,0100,2022-03-22,,1.0,1.0,none,0.0,1.0,0.0,0.0,1.0,1.0,0.0,86.21,Q,57683941,12300,4210014,16,79703000001,39.1917319,44.8831954,street,,,,,,,,,,,275.0,27.0,,37.0
0100001223,1220100000702,adygeya,0100,2022-03-23,,1.0,1.0,none,0.0,0.0,1.0,1.0,1.0,1.0,0.0,95.29,S,58075445,12300,4210014,16,79630159051,38.9308868,44.9920102,house,,,,,,,,,,,10.0,,,10.0
0100001230,1220100000713,adygeya,0100,2022-03-23,,1.0,1.0,none,0.0,1.0,0.0,1.0,1.0,1.0,0.0,71.11,M,58078596,12300,4210014,16,79701000001,40.1199181,44.598016799999996,house,,,,,,,,,,,158.0,,,158.0
0100001248,1220100000724,adygeya,0100,2022-03-28,,1.0,1.0,none,0.0,1.0,0.0,1.0,1.0,1.0,0.0,79.11,N,76901651,12300,4210014,16,79701000001,40.1111047,44.6027673,house,,,,,,,,,,,8652.0,,,8284.0
0100001262,1220100000746,adygeya,0100,2022-03-29,,1.0,1.0,none,0.0,1.0,0.0,0.0,1.0,1.0,0.0,93.11,R,78696037,12300,4210014,16,79701000001,40.105628333159586,44.6171498,house,,,,,,,,,,,248.0,,,7.0
0100001270,1220100000757,adygeya,0100,2022-03-29,,1.0,1.0,none,0.0,1.0,0.0,0.0,1.0,0.0,0.0,68.20,L,78698645,12300,4210014,16,79701000001,40.10716138351093,44.60430785,house,,,,,,,,,,,,,,
